Order ID;Order Date;Order Quantity;Customer ID;Customer Name;Customer City;Latitude;Longitude;Customer Country;Customer Loyalty Card;Product ID;Product Coffee Type;Product Roast Type;Product Size (kg);Product Unit Price;Product Price per 100g;Product Profit;Total Profit
AAQ-13644-699;03/06/2022;4;46296-42617-OQ;Fernando Sulman;Asheville;35,5950581;-82,5514869;United States;Yes;R-D-1;Robusta;Dark;1;8,95;0,895;0,537;2,148
ABK-08091-531;30/10/2020;3;53864-36201-FG;Tess Benediktovich;Albuquerque;35,0843859;-106,650422;United States;Yes;L-L-1;Liberica;Light;1;15,85;1,585;2,0605;6,1815
ABO-29054-365;19/01/2019;6;00256-19905-YG;Stanislaus Valsler;Castlebridge;52,3824281;-6,4502872;Ireland;No;A-M-0.5;Arabika;Medium;0,5;6,75;1,35;0,6075;3,645
ACY-56225-839;28/01/2021;3;47386-50743-FG;Kynthia Berick;San Francisco;37,7749295;-122,4194155;United States;Yes;A-M-2.5;Arabika;Medium;2,5;25,875;1,035;2,32875;6,98625
ADP-04506-084;24/07/2021;6;61809-87758-LJ;Hatty Dovydenas;Amarillo;35,2219971;-101,8312969;United States;Yes;E-M-2.5;Excelca;Medium;2,5;31,625;1,265;3,47875;20,8725
ADX-50674-975;03/02/2021;4;58916-61837-QH;Freda Hollows;Buffalo;42,8864468;-78,8783689;United States;Yes;A-M-2.5;Arabika;Medium;2,5;25,875;1,035;2,32875;9,315
AEL-51169-725;03/02/2020;6;37430-29579-HD;Eveleen Bletsor;West Hartford;41,7620842;-72,7420151;United States;Yes;L-M-0.2;Liberica;Medium;0,2;4,365;2,1825;0,56745;3,4047
AEZ-13242-456;04/05/2022;5;62494-09113-RP;Marguerite Graves;Fort Smith;35,3843722;-94,4209646;United States;No;R-M-0.5;Robusta;Medium;0,5;5,97;1,194;0,3582;1,791
AGQ-06534-750;24/04/2019;5;52798-46508-HP;Kevan Grinsted;Tallaght;53,2889141;-6,357193;Ireland;No;A-L-1;Arabika;Light;1;12,95;1,295;1,1655;5,8275
AHQ-40440-522;18/09/2020;1;83833-46106-ZC;Martie Brimilcombe;Springfield;37,208958;-93,292297;United States;No;A-D-1;Arabika;Dark;1;9,95;0,995;0,8955;0,8955
AHV-66988-037;08/09/2020;2;12743-00952-KO;Christel Speak;Duluth;46,7866719;-92,1004852;United States;No;R-M-2.5;Robusta;Medium;2,5;22,885;0,9154;1,3731;2,7462
AHY-20324-088;06/09/2020;2;63499-24884-PP;Nicky Ayris;Kinloch;56,5873549;-3,3886199;United Kingdom;Yes;L-L-0.2;Liberica;Light;0,2;4,755;2,3775;0,61815;1,2363
AIA-98989-755;09/05/2020;1;34704-83143-KS;Sacha Bruun;Stockton;37,9577016;-121,2907796;United States;No;R-M-0.2;Robusta;Medium;0,2;2,985;1,4925;0,1791;0,1791
AJL-52941-018;05/05/2020;2;55871-61935-MF;Lind Conyers;El Paso;31,7618778;-106,4850217;United States;No;E-D-1;Excelca;Dark;1;12,15;1,215;1,3365;2,673
AJV-18231-334;05/07/2020;2;23473-41001-CD;Agnes Adamides;Liverpool;53,408371;-2,991573;United Kingdom;No;R-D-2.5;Robusta;Dark;2,5;20,585;0,8234;1,2351;2,4702
